# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.500000e-01
# Aref        : 4.909395e-02
# CofR        : (-1.450300e-05 2.286240e-06 -1.313550e-04)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	2.940780e-05	3.241010e+00	3.134104e-06	3.097485e-05	-2.784075e-05
2             	4.424915e-05	4.880294e+00	1.349633e-05	5.099731e-05	-3.750098e-05
3             	5.237160e-05	5.789466e+00	8.336683e-05	9.405502e-05	-1.068819e-05
4             	5.409211e-05	5.992095e+00	1.954524e-04	1.518183e-04	4.363410e-05
5             	5.090674e-05	5.587864e+00	4.160271e-04	2.589203e-04	1.571068e-04
6             	4.332806e-05	4.724679e+00	5.831405e-04	3.348983e-04	2.482422e-04
7             	3.590037e-05	3.555925e+00	7.580603e-04	4.149305e-04	3.431298e-04
8             	2.353308e-05	2.255713e+00	1.231768e-03	6.394170e-04	5.923509e-04
9             	1.351535e-05	9.561430e-01	9.049273e-04	4.659790e-04	4.389483e-04
10            	9.606883e-06	-2.149903e-01	4.149567e-04	2.170852e-04	1.978714e-04
11            	3.446017e-06	-1.148763e+00	-5.094404e-04	-2.512742e-04	-2.581662e-04
12            	-3.000690e-06	-1.788165e+00	-1.254934e-03	-6.304679e-04	-6.244665e-04
13            	-3.383406e-06	-2.131148e+00	-1.875904e-03	-9.413352e-04	-9.345684e-04
14            	2.966270e-05	-2.187858e+00	-1.522905e-03	-7.317897e-04	-7.911151e-04
15            	2.564252e-05	-2.001665e+00	-2.707901e-03	-1.328308e-03	-1.379593e-03
16            	3.853662e-05	-1.638774e+00	-3.104153e-03	-1.513540e-03	-1.590613e-03
17            	4.592322e-05	-1.174263e+00	-2.772940e-03	-1.340547e-03	-1.432393e-03
18            	5.223235e-05	-6.716555e-01	-2.680076e-03	-1.287806e-03	-1.392270e-03
19            	5.550552e-05	-1.754303e-01	-2.105299e-03	-9.971440e-04	-1.108155e-03
20            	6.255555e-05	2.680233e-01	-1.801876e-03	-8.383823e-04	-9.634934e-04
21            	5.821393e-05	6.312865e-01	-1.051067e-03	-4.673196e-04	-5.837474e-04
22            	5.878027e-05	8.987656e-01	-5.529796e-04	-2.177095e-04	-3.352700e-04
23            	5.714674e-05	1.070284e+00	-1.814009e-04	-3.355370e-05	-1.478472e-04
24            	5.507677e-05	1.153189e+00	1.801267e-04	1.451401e-04	3.498657e-05
25            	5.631916e-05	1.158142e+00	2.463659e-04	1.795021e-04	6.686381e-05
26            	5.534109e-05	1.099790e+00	3.256139e-04	2.181480e-04	1.074659e-04
27            	4.939796e-05	1.001384e+00	8.494862e-05	9.187227e-05	-6.923650e-06
28            	4.449518e-05	8.709452e-01	-6.534661e-04	-2.822379e-04	-3.712282e-04
29            	3.996320e-05	7.265278e-01	-1.090812e-03	-5.054427e-04	-5.853691e-04
30            	2.651730e-05	5.784170e-01	-1.153773e-03	-5.503691e-04	-6.034037e-04
31            	1.942715e-05	4.365253e-01	-1.486765e-03	-7.239552e-04	-7.628095e-04
32            	1.356128e-05	3.074573e-01	-1.635866e-03	-8.043716e-04	-8.314941e-04
33            	8.050848e-06	1.971432e-01	-1.664704e-03	-8.243010e-04	-8.404027e-04
34            	6.345564e-06	1.093828e-01	-1.684008e-03	-8.356585e-04	-8.483497e-04
35            	5.804152e-06	4.659342e-02	-1.893120e-03	-9.407558e-04	-9.523641e-04
36            	6.716858e-06	1.024010e-02	-2.016548e-03	-1.001557e-03	-1.014991e-03
37            	8.434581e-06	-3.719073e-05	-2.076767e-03	-1.029949e-03	-1.046818e-03
38            	1.332474e-05	1.329927e-02	-2.269818e-03	-1.121584e-03	-1.148234e-03
39            	1.795548e-05	4.597123e-02	-2.406448e-03	-1.185269e-03	-1.221180e-03
40            	2.276638e-05	9.308420e-02	-2.484457e-03	-1.219462e-03	-1.264995e-03
41            	2.407113e-05	1.502898e-01	-2.153126e-03	-1.052492e-03	-1.100634e-03
42            	3.246056e-05	2.139722e-01	-2.272640e-03	-1.103859e-03	-1.168781e-03
43            	3.982657e-05	2.810634e-01	-2.099939e-03	-1.010143e-03	-1.089796e-03
44            	4.797228e-05	3.452987e-01	-2.024433e-03	-9.642441e-04	-1.060189e-03
45            	5.423205e-05	4.032845e-01	-2.205571e-03	-1.048553e-03	-1.157017e-03
46            	6.158826e-05	4.515352e-01	-2.203368e-03	-1.040096e-03	-1.163272e-03
47            	6.704882e-05	4.877249e-01	-1.946701e-03	-9.063018e-04	-1.040399e-03
48            	7.415490e-05	5.107050e-01	-2.113315e-03	-9.825028e-04	-1.130813e-03
49            	7.804430e-05	5.199941e-01	-2.355005e-03	-1.099458e-03	-1.255547e-03
50            	8.130895e-05	5.166707e-01	-2.523798e-03	-1.180590e-03	-1.343208e-03
51            	8.091726e-05	5.023668e-01	-2.667178e-03	-1.252672e-03	-1.414506e-03
52            	8.509302e-05	4.795345e-01	-2.861870e-03	-1.345842e-03	-1.516028e-03
53            	8.913258e-05	4.513927e-01	-2.765128e-03	-1.293431e-03	-1.471696e-03
54            	8.901965e-05	4.206071e-01	-2.630646e-03	-1.226303e-03	-1.404342e-03
55            	8.906322e-05	3.906568e-01	-2.482031e-03	-1.151952e-03	-1.330079e-03
56            	9.054235e-05	3.642840e-01	-2.433870e-03	-1.126392e-03	-1.307477e-03
57            	9.308393e-05	3.436786e-01	-2.534884e-03	-1.174358e-03	-1.360526e-03
58            	9.334279e-05	3.302965e-01	-2.600703e-03	-1.207008e-03	-1.393694e-03
59            	9.086302e-05	3.243959e-01	-2.654294e-03	-1.236284e-03	-1.418010e-03
60            	9.329360e-05	3.258657e-01	-2.741571e-03	-1.277492e-03	-1.464079e-03
61            	9.295857e-05	3.334898e-01	-2.683103e-03	-1.248593e-03	-1.434510e-03
62            	9.240634e-05	3.461811e-01	-2.565105e-03	-1.190146e-03	-1.374959e-03
63            	9.279188e-05	3.619492e-01	-2.454161e-03	-1.134289e-03	-1.319873e-03
64            	9.235100e-05	3.791756e-01	-2.368262e-03	-1.091780e-03	-1.276482e-03
65            	8.955265e-05	3.960576e-01	-2.313528e-03	-1.067211e-03	-1.246317e-03
66            	8.786076e-05	4.112267e-01	-2.205935e-03	-1.015107e-03	-1.190828e-03
67            	8.761400e-05	4.237747e-01	-2.156031e-03	-9.904016e-04	-1.165630e-03
68            	8.797930e-05	4.329224e-01	-2.080444e-03	-9.522425e-04	-1.128201e-03
69            	8.704418e-05	4.382727e-01	-2.138064e-03	-9.819879e-04	-1.156076e-03
70            	8.588477e-05	4.399039e-01	-2.310014e-03	-1.069122e-03	-1.240892e-03
71            	8.454360e-05	4.380112e-01	-2.446601e-03	-1.138757e-03	-1.307844e-03
72            	8.514340e-05	4.332599e-01	-2.625248e-03	-1.227481e-03	-1.397767e-03
73            	8.808790e-05	4.263914e-01	-2.710770e-03	-1.267297e-03	-1.443473e-03
74            	9.211297e-05	4.179869e-01	-2.667738e-03	-1.241756e-03	-1.425982e-03
75            	9.767139e-05	4.088055e-01	-2.508897e-03	-1.156777e-03	-1.352120e-03
76            	1.037360e-04	3.994088e-01	-2.455295e-03	-1.123912e-03	-1.331384e-03
77            	1.088771e-04	3.903433e-01	-2.406510e-03	-1.094378e-03	-1.312132e-03
78            	1.146205e-04	3.819165e-01	-2.286408e-03	-1.028583e-03	-1.257824e-03
79            	1.205341e-04	3.746067e-01	-2.171095e-03	-9.650131e-04	-1.206081e-03
80            	1.276238e-04	3.685696e-01	-1.995332e-03	-8.700422e-04	-1.125290e-03
81            	1.341940e-04	3.640122e-01	-1.603634e-03	-6.676229e-04	-9.360109e-04
82            	1.392181e-04	3.608599e-01	-1.253357e-03	-4.874601e-04	-7.658964e-04
83            	1.445453e-04	3.594037e-01	-8.774568e-04	-2.941831e-04	-5.832737e-04
84            	1.479623e-04	3.593860e-01	-5.937356e-04	-1.489055e-04	-4.448301e-04
85            	1.507737e-04	3.607308e-01	-3.096094e-04	-4.030952e-06	-3.055784e-04
86            	1.511728e-04	3.631092e-01	-1.659502e-04	6.819769e-05	-2.341479e-04
87            	1.512759e-04	3.662871e-01	-1.044853e-05	1.460517e-04	-1.565002e-04
88            	1.490621e-04	3.698976e-01	-4.475318e-05	1.266856e-04	-1.714387e-04
89            	1.465217e-04	3.735731e-01	-1.171847e-04	8.792931e-05	-2.051140e-04
90            	1.410053e-04	3.770127e-01	-1.032397e-04	8.938542e-05	-1.926251e-04
91            	1.341005e-04	3.799954e-01	-2.237750e-04	2.221303e-05	-2.459880e-04
92            	1.267812e-04	3.823775e-01	-3.232776e-04	-3.485761e-05	-2.884200e-04
93            	1.177122e-04	3.839007e-01	-3.430434e-04	-5.380955e-05	-2.892339e-04
94            	1.069004e-04	3.848021e-01	-4.800058e-04	-1.331025e-04	-3.469033e-04
95            	9.880366e-05	3.849007e-01	-3.565077e-04	-7.945019e-05	-2.770575e-04
96            	8.900707e-05	3.845249e-01	-1.987419e-04	-1.036389e-05	-1.883780e-04
97            	8.151530e-05	3.837927e-01	-1.758841e-04	-6.426738e-06	-1.694573e-04
98            	7.704017e-05	3.830049e-01	1.077782e-04	1.309293e-04	-2.315107e-05
99            	7.181157e-05	3.822241e-01	2.507362e-04	1.971797e-04	5.355653e-05
100           	6.735195e-05	3.816488e-01	1.675428e-04	1.511233e-04	1.641943e-05
101           	6.321544e-05	3.815591e-01	1.729444e-04	1.496877e-04	2.325678e-05
102           	6.127729e-05	3.817895e-01	2.916642e-04	2.071094e-04	8.455479e-05
103           	6.049441e-05	3.824081e-01	3.566748e-04	2.388318e-04	1.178430e-04
104           	6.030880e-05	3.833443e-01	1.323246e-04	1.264711e-04	5.853481e-06
105           	6.055797e-05	3.843914e-01	-1.658101e-04	-2.234710e-05	-1.434630e-04
106           	6.028097e-05	3.855289e-01	-5.491492e-04	-2.142936e-04	-3.348555e-04
107           	6.151015e-05	3.864486e-01	-9.084254e-04	-3.927026e-04	-5.157229e-04
